Fiscal Year,Title,Funding Opportunity,Awardee,State,Award Number,Award Amount,Award Status
2024,"MOSAIC: Unifying Methods of Sex, Stature, Affinity, & Age for Identification through Computational Standardization",NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,MICHIGAN STATE UNIVERSITY,MI,15PNIJ-24-GG-03840-NIJB,"$2,062,069",Open
2024,"Multi-level, Mixed Methods Evaluation of Elm City COMPASS: A Comprehensive Approach to 911 Crisis Response","NIJ FY24 Research and Evaluation on 911, Alternative Hotlines, and Alternative Responder Models",YALE UNIV,CT,15PNIJ-24-GG-01556-RESS,"$544,042",Open
2024,Nanoparticle-Decorated Micropillars As Integrated Raman Spectroscopy and Mass Spectrometry Substrates for Quantitative and High-Throughput Toxicology Drug Analysis,NIJ FY24 Invited to Apply – Forensic Science for Criminal Justice Purposes Program,TRUSTEES OF INDIANA UNIVERSITY,IN,15PNIJ-23-GG-04235-RESS,"$347,330",Open
2024,National Juvenile Court Data Archive,NIJ FY24 National Juvenile Court Data Archive,NATIONAL COUNCIL OF JUVENILE AND FAMILY COURT JUDGES,NV,15PNIJ-24-GG-00751-TITL,"$2,000,000",Open
2024,NIJ FY24 Domestic Radicalization and Violent Extremism Research Center of Excellence,NIJ FY24 Domestic Radicalization and Violent Extremism Research Center of Excellence,THE CNA CORPORATION,VA,15PNIJ-24-GK-00750-DOMR,"$6,998,958",Open
2024,NIJ LEADS,,NATIONAL POLICING INSTITUTE,VA,15PNIJ-23-GK-04221-NIJB,"$1,000,000",Open
2024,Non-Contact Detection of Fentanyl and Other Opioids: Towards a Generalized Approach to Detection of Dangerous Drug Classes,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,Naval Research Laboratory,,GRANT14119305,"$624,483",Open
2024,"Novel Psychoactive Substance Discovery, Education, and Reporting Institute","NIJ FY24 Novel Psychoactive Substance Discovery, Education, and Reporting Institute",THE FREDRIC RIEDERS FAMILY RENAISSANCE FOUNDATION,PA,15PNIJ-24-GK-00981-COAP,"$2,000,000",Open
2024,On the reliability of the forensic examination of electrical tapes and the influence of alteration sources encountered in casework,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,SAM HOUSTON STATE UNIVERSITY,TX,15PNIJ-24-GG-03853-RESD,"$216,195",Open
2024,Persistence and Desistance across Generations: A Longitudinal Investigation,NIJ FY24 Longitudinal Research on Delinquency and Crime,BOWLING GREEN STATE UNIVERSITY,OH,15PNIJ-24-GG-00872-MUMU,"$971,369",Open
2024,PRIPARE: Parole and Reduced Incarceration for People thru Access to Re-Entry,NIJ FY24 Field-Initiated Action Research Partnerships,UNIVERSITY OF NEW MEXICO,NM,15PNIJ-24-GG-05446-NIJB,"$400,000",Open
2024,"Procedural and Structural Justice Through Causal Understanding, Component Decoupling, and Relation Characterization",NIJ FY24 Graduate Research Fellowship,CARNEGIE MELLON UNIVERSITY,PA,15PNIJ-24-GG-01565-RESS,"$60,000",Open
2024,"Quantitative Evaluation of Hemp-Derived Vape Products for Accurate Labeling, Identification of Unknowns, and Stability",NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,National Institute of Standards and Technology,,DJO-NIJ-25-RO-0003,"$300,000",Open
2024,Quasi-experimental evaluation of contraband interdiction technologies,NIJ FY24 Research and Evaluation on Corrections,THE URBAN INSTITUTE,DC,15PNIJ-24-GG-01091-FSAX,"$849,383",Open
2024,Randomized Controlled Study of the EMPOWER Program to Prevent Abuse and Financial Exploitation of Older Adults,"NIJ FY24 Research on the Abuse, Neglect, and Financial Exploitation of Older Adults",THE URBAN INSTITUTE,DC,15PNIJ-24-GG-01910-MUMU,"$1,739,447",Open
2024,Reducing Collateral Consequences with Records Relief: Organizational Readiness for Implementing Strategies in State Courts,NIJ FY24 Evaluating Strategies to Advance the Implementation of Evidence-Based Policies and Practices,NATIONAL CENTER FOR STATE COURTS,VA,15PNIJ-24-GG-02869-NIJB,"$422,100",Open
2024,REFRAME: Research and Evaluation Framework for Reducing hArm and Measuring the Effectiveness of CVIPI Strategies,NIJ FY24 Community-Based Violence Intervention and Prevention Initiative (CVIPI) Research and Evaluation,"UNIVERSITY OF CALIFORNIA, DAVIS",CA,15PNIJ-24-GG-02984-CVIP,"$1,642,305",Open
2024,Research and Development for the Creation of Validated Protocols for the Forensic Detection and Quantification of Psilocybin and Psilocin in Complex Edible Matrices,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",NY,15PNIJ-24-GG-03848-MUMU,"$781,087",Open
2024,Research and Development of an Approach for Non-invasive Determination of Cannabis Ingestion for Forensic Science Purposes,NIJ FY24 Invited to Apply – Forensic Science for Criminal Justice Purposes Program,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",NY,15PNIJ-23-GG-04236-RESS,"$407,064",Open
2024,"Research, Evaluation, and Analysis of Call Handling on Three-Digit Hotlines (REACH-3D)","NIJ FY24 Research and Evaluation on 911, Alternative Hotlines, and Alternative Responder Models",UNIVERSITY OF CHICAGO,IL,15PNIJ-24-GG-01559-RESS,"$935,000",Open
2024,Safe Transitions for Teens,NIJ FY24 Invited to Apply – Safe Transitions for Teens: Assessing the Impact of Intimate Partner Transitional Housing on Adolescent Residents Study,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,TX,15PNIJ-24-AG-00117-REVA,"$842,337",Open
2024,Schoolhouse interrogations and confessions: Perspectives from principals and students,NIJ FY24 Graduate Research Fellowship,GEORGE MASON UNIVERSITY,VA,15PNIJ-24-GG-01564-RESS,"$120,741",Open
2024,"Secretariat for ISO/IEC JTC 1/SC 37, Biometrics",NIJ FY24 Invited to Apply - Operation of the Secretariat of SC 37 under JTC 1 of ISO/IEC,AMERICAN NATIONAL STANDARDS INSTITUTE INCORPORATED,DC,15PNIJ-21-GG-00662-RESS,"$60,000",Open
